Sample	PC1	PC2	PC3	PC4	studyName	sampleType	tissueType	tissueType_2	tumorStatus_2	deseq2_normalization
57	SRR657821_Thyroid	-0.0271570496318574	-0.0180779561263344	0.0369252891331748	0.00294367751066711	gtex	Thyroid	Thyroid	thyroid	Normal	1.42097015842516
58	SRR657809_Prostate	-0.0275183483407358	-0.0155499265423486	-0.0120881031890917	0.0085750936520903	gtex	Prostate	Prostate	prostate	Normal	0.634862058661945
59	SRR655277_Thyroid	-0.0276922465821554	-0.017808980585047	0.0297688827898707	0.00262613938054456	gtex	Thyroid	Thyroid	thyroid	Normal	1.41005182273565
60	SRR656191_Thyroid	-0.0277204504719198	-0.0218559782406778	0.0279802767998089	0.00503051877088167	gtex	Thyroid	Thyroid	thyroid	Normal	1.02566321547078
61	SRR658021_Thyroid	-0.0276151087545391	-0.0200013309899099	0.0341167957280153	0.00752693658390132	gtex	Thyroid	Thyroid	thyroid	Normal	1.26484339963127
62	SRR658117_Thyroid	-0.0276329690986954	-0.0188334753498582	0.0280085914768399	0.00871406612072705	gtex	Thyroid	Thyroid	thyroid	Normal	0.53557514311068
63	SRR656469_Thyroid	-0.0275999160593014	-0.0181896582542095	0.0330287341025637	0.00423960445026892	gtex	Thyroid	Thyroid	thyroid	Normal	2.00849250054727
64	SRR656528_Thyroid	-0.0274113655497214	-0.0214923242711112	0.0260626116917209	0.0127603389010876	gtex	Thyroid	Thyroid	thyroid	Normal	1.20392713282473
65	SRR656373_Thyroid	-0.0276976502355383	-0.0168912039619158	0.0187931943685747	0.0114475806581633	gtex	Thyroid	Thyroid	thyroid	Normal	1.0598360529851
66	SRR657101_Thyroid	-0.027496816466325	-0.0169376252543068	0.0283076542954181	0.0095190955025103	gtex	Thyroid	Thyroid	thyroid	Normal	0.450423188458435
67	SRR657360_Thyroid	-0.0275525605675012	-0.0186908536557042	0.0313995588893538	0.00754963967056409	gtex	Thyroid	Thyroid	thyroid	Normal	0.90928880688896
68	SRR657372_Thyroid	-0.0277769255936956	-0.0168369892167676	0.024693889573677	0.00396598017719089	gtex	Thyroid	Thyroid	thyroid	Normal	1.40394226742038
69	SRR657420_Thyroid	-0.0276854195891072	-0.0195182715616968	0.0316476901834729	0.00488006445053523	gtex	Thyroid	Thyroid	thyroid	Normal	2.15993106232146
70	SRR657845_Thyroid	-0.0275405482508744	-0.0194394666701411	0.0357751277353964	0.00509192245369719	gtex	Thyroid	Thyroid	thyroid	Normal	0.867999244164831
71	SRR658573_Thyroid	-0.0275702275687279	-0.0239171060899445	0.0317350534107956	0.00318805526571379	gtex	Thyroid	Thyroid	thyroid	Normal	1.56051848991827
72	SRR659649_Liver	-0.0261531179701799	0.0547054556220463	0.0103455371527758	0.0248167046689077	gtex	Liver	Liver	liver	Normal	0.910230839110511
73	SRR659744_Thyroid	-0.0276386229129406	-0.020629438571281	0.031545759619018	0.00394219012937739	gtex	Thyroid	Thyroid	thyroid	Normal	1.37622392594186
74	SRR659578_Thyroid	-0.0274522729136559	-0.0192485680530707	0.0353764731988192	-0.0018751076229165	gtex	Thyroid	Thyroid	thyroid	Normal	1.52570943125005
75	SRR659133_Thyroid	-0.0273610020207755	-0.0132981595506341	0.0169239141817996	-0.000326802332958692	gtex	Thyroid	Thyroid	thyroid	Normal	1.891190533648
