names	tissues	correlation	ontology	similarity.measure	expr.distance	status
SRR660236_Thyroid	Thyroid	0.830348044962321	Cosine	Spearman	Spearman	Original
SRR660438_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR665646_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR665490_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR661052_Prostate	Prostate	0.739553984348238	Cosine	Spearman	Spearman	Original
SRR663368_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR663380_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR663392_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR661409_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR661493_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR661711_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR661794_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR663149_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR662510_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR663795_Thyroid	Thyroid	0.830348044962321	Cosine	Spearman	Spearman	Original
SRR807751_Colon_Transverse	Colon	0.225451300242604	Cosine	Spearman	Spearman	Original
SRR807799_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR807971_Liver	Liver	0.756543518527302	Cosine	Spearman	Spearman	Original
SRR807995_Liver	Liver	0.0691509716231457	Cosine	Spearman	Spearman	Original
SRR808638_Colon_Transverse	Colon	0.538487232070256	Cosine	Spearman	Spearman	Original
SRR808658_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR808886_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR809043_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR809503_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR809565_Colon_Transverse	Colon	0.225451300242604	Cosine	Spearman	Spearman	Original
SRR809943_Kidney_Cortex	Kidney	0.75542170795445	Cosine	Spearman	Spearman	Original
SRR810007_Kidney_Cortex	Kidney	0.75542170795445	Cosine	Spearman	Spearman	Original
SRR810153_Colon_Transverse	Colon	0.225451300242604	Cosine	Spearman	Spearman	Original
SRR810343_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR810805_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR812270_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR812697_Colon_Transverse	Colon	0.225451300242604	Cosine	Spearman	Spearman	Original
SRR812721_Colon_Transverse	Colon	0.225451300242604	Cosine	Spearman	Spearman	Original
SRR813108_Prostate	Prostate	0.739553984348238	Cosine	Spearman	Spearman	Original
SRR813529_Colon_Transverse	Colon	0.538487232070256	Cosine	Spearman	Spearman	Original
SRR813848_Thyroid	Thyroid	0.830348044962321	Cosine	Spearman	Spearman	Original
SRR814108_Colon_Transverse	Colon	0.538487232070256	Cosine	Spearman	Spearman	Original
SRR814919_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR815140_Liver	Liver	0.756543518527302	Cosine	Spearman	Spearman	Original
SRR815280_Prostate	Prostate	0.283431339639793	Cosine	Spearman	Spearman	Original
