Sample	PC1	PC2	PC3	PC4	studyName	sampleType	tissueType	tissueType_2	tumorStatus_2	deseq2_normalization
67	SRR657360_Thyroid	-0.0271886440390634	-0.0131685995240464	-0.0312637742961395	-0.0199109570009045	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.90928880688896
68	SRR657372_Thyroid	-0.0272105212853197	-0.0140966732753272	-0.0297055700050865	-0.0243977330740766	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.40394226742038
69	SRR657420_Thyroid	-0.0272117703087663	-0.015696437095796	-0.0299113183045938	-0.0207529779947403	GTEx	Thyroid	Thyroid	Thyroid	Normal	2.15993106232146
70	SRR657845_Thyroid	-0.0272186008763274	-0.0162188883111201	-0.031573103915459	-0.019564837995848	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.867999244164831
71	SRR658573_Thyroid	-0.0272608712024	-0.0131325287326056	-0.0300339027504192	-0.0237805201760327	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.56051848991827
72	SRR659649_Liver	-0.0266071540793913	0.0649356516524419	-0.00686724053621867	-0.0112720033047265	GTEx	Liver	Liver	Liver	Normal	0.910230839110511
73	SRR659744_Thyroid	-0.0271948265066862	-0.0152682519289359	-0.0318353284619242	-0.023086985347496	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.37622392594186
74	SRR659578_Thyroid	-0.0270717079306336	-0.0145502262804369	-0.0305932924816374	-0.0230637901647518	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.52570943125005
75	SRR659133_Thyroid	-0.0271328900112659	-0.0164598597294727	-0.0286788601698538	-0.0220890727816769	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.891190533648
76	SRR659923_Thyroid	-0.0270624410263572	-0.0196930229420873	-0.0337363643458958	-0.0271677249989525	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.9375649726226
77	SRR659947_Thyroid	-0.0271436134582266	-0.0141716751914387	-0.0338515857124596	-0.0239589823462421	GTEx	Thyroid	Thyroid	Thyroid	Normal	2.20598019124226
78	SRR659851_Thyroid	-0.0272436815449155	-0.0149408000067869	-0.0255714326306066	-0.0228631969047325	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.814615948196806
79	SRR659259_Thyroid	-0.0272201282021406	-0.00503564660559864	-0.0300355881824513	-0.0228415928713878	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.532007965245157
80	SRR660079_Thyroid	-0.0272271797804168	-0.0136718334595639	-0.0282247767911732	-0.0209194342275626	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.11813084525456
81	SRR660212_Thyroid	-0.0271379406506791	-0.0140313526890323	-0.0262256974519157	-0.0260994341299739	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.41180417508406
82	SRR660236_Thyroid	-0.0272102851752608	-0.0158196767541523	-0.0311544459308803	-0.0225659539643085	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.850978127134268
83	SRR660438_Thyroid	-0.0271530106588581	-0.014010813982021	-0.029902770714228	-0.023061352737269	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.904982303651982
84	SRR665646_Thyroid	-0.0272283874472186	-0.0147922974583887	-0.0278403834766311	-0.0211330061373395	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.293224712899539
85	SRR665490_Thyroid	-0.0271474037025462	-0.0144288120952753	-0.0332407748745275	-0.0221160212264139	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.84930118686858
86	SRR661052_Prostate	-0.0271555102390324	-0.0151878142474453	0.0164101922628086	0.0077132341804593	GTEx	Prostate	Prostate	Prostate	Normal	1.05682158013548
87	SRR663368_Thyroid	-0.02722756748216	-0.0149519163094038	-0.0321902665344921	-0.0234738205477552	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.09011261744604
88	SRR663380_Thyroid	-0.0272289012696459	-0.0152643760667698	-0.0292419992938661	-0.022394609192277	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.49803591158488
89	SRR663392_Thyroid	-0.0271994565026367	-0.0140033359097306	-0.0291643595601935	-0.021335232607801	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.51331048885065
90	SRR661409_Thyroid	-0.0272436804006623	-0.0161976033763978	-0.0255363278519939	-0.0208528163514532	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.394495668306637
91	SRR661493_Thyroid	-0.027249460292733	-0.0147584251726107	-0.0288285191341858	-0.0222526055572792	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.313758854786276
92	SRR661711_Thyroid	-0.0272059072939871	-0.0131020360793749	-0.0310612901280607	-0.0263059496663384	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.25657184625762
93	SRR661794_Thyroid	-0.0271470403175233	-0.0179363283817292	-0.030343210604766	-0.0205980954801971	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.0970278836346
94	SRR663149_Thyroid	-0.0272044527923214	-0.0127683077065665	-0.0281593883378547	-0.0234869842084923	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.5713302976065
95	SRR662510_Thyroid	-0.0272158691647849	-0.0147527700620691	-0.0280329857110786	-0.0216421414014848	GTEx	Thyroid	Thyroid	Thyroid	Normal	2.01697063829042
96	SRR663795_Thyroid	-0.0271982148202949	-0.0155741850554206	-0.0267545959011577	-0.0251872715537987	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.21116957625561
97	SRR807751_Colon_Transverse	-0.0272520257886508	-0.0118370231708076	0.0305824486291193	-0.00408115430175689	GTEx	Colon_Transverse	Colon	Colon	Normal	1.45878921867453
98	SRR807799_Thyroid	-0.0272445586181676	-0.0128292685849849	-0.0298489461833472	-0.0218537375090649	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.71108147206279
99	SRR807971_Liver	-0.0266097368354952	0.0672475524520933	0.000895542415345597	-0.00994845097754549	GTEx	Liver	Liver	Liver	Normal	0.869049588232877
100	SRR807995_Liver	-0.0264531181995684	0.0669696055695254	0.00074638830698746	-0.0110998354704837	GTEx	Liver	Liver	Liver	Normal	0.606835672038064
101	SRR808638_Colon_Transverse	-0.0272095371163074	-0.012642908318175	0.0344459805422481	0.000198412025233311	GTEx	Colon_Transverse	Colon	Colon	Normal	1.02434107476391
102	SRR808658_Thyroid	-0.0271336088261415	-0.0144368002021499	-0.0348904015689	-0.0244577047527752	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.7723964719273
103	SRR808886_Thyroid	-0.0271879391423446	-0.0127413827329697	-0.0338265945579853	-0.019928588763814	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.34298684912926
104	SRR809043_Thyroid	-0.0271567494847724	-0.0123891484627463	-0.0311981480534595	-0.0230446810247436	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.46337994314956
105	SRR809503_Thyroid	-0.0271836630704937	-0.014634921319604	-0.0299475701106438	-0.0215874709309229	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.86241923920231
106	SRR809565_Colon_Transverse	-0.0271636177727258	-0.0105174646385462	0.0354117037531636	-0.00278105167807766	GTEx	Colon_Transverse	Colon	Colon	Normal	1.79715514397724
107	SRR809943_Kidney_Cortex	-0.0269064115505294	-0.00042674217627036	-0.0252376464569862	0.0623718705222416	GTEx	Kidney_Cortex	Kidney	Kidney	Normal	0.707668702383454
108	SRR810007_Kidney_Cortex	-0.0269274091894028	-0.000916496908843894	-0.0238147765114868	0.0737686274141768	GTEx	Kidney_Cortex	Kidney	Kidney	Normal	1.43196674321654
109	SRR810153_Colon_Transverse	-0.0272835072296598	-0.00912663192987481	0.034504629147187	-0.00449013715065714	GTEx	Colon_Transverse	Colon	Colon	Normal	1.48700909772693
110	SRR810343_Thyroid	-0.0271028116951028	-0.0131280692683615	-0.03825298903788	-0.0253720054440492	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.94505481286153
111	SRR810805_Thyroid	-0.0272199586640968	-0.0128700932206799	-0.0313105195080835	-0.0238753709868326	GTEx	Thyroid	Thyroid	Thyroid	Normal	2.0026855360965
112	SRR812270_Thyroid	-0.0271877927892727	-0.0143999688286195	-0.035738955083794	-0.0235466964041703	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.93430045410474
113	SRR812697_Colon_Transverse	-0.0272526879666707	-0.0123542153628601	0.0304108054268797	-0.00226731611860654	GTEx	Colon_Transverse	Colon	Colon	Normal	1.67740103895455
114	SRR812721_Colon_Transverse	-0.0272573445011955	-0.00948547647264864	0.0340672344971315	-0.00149487121924389	GTEx	Colon_Transverse	Colon	Colon	Normal	1.60236944509538
115	SRR813108_Prostate	-0.0270290235619891	-0.0129382399005656	0.0206227006053764	0.00873244781905268	GTEx	Prostate	Prostate	Prostate	Normal	1.43316313658069
116	SRR813529_Colon_Transverse	-0.0271813471912309	-0.0104975453584154	0.0387949926384537	-0.00220961468684963	GTEx	Colon_Transverse	Colon	Colon	Normal	1.95137430029939
117	SRR813848_Thyroid	-0.0271017437610982	-0.0147475428970135	-0.0334548967222326	-0.0224431948149482	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.01512480162592
118	SRR814108_Colon_Transverse	-0.0272133370964041	-0.0142129814436415	0.0330887695713666	-0.00149831937763669	GTEx	Colon_Transverse	Colon	Colon	Normal	1.54493095243435
119	SRR814919_Thyroid	-0.0272006891083851	-0.0149572054698335	-0.0320284022531198	-0.0238509860381548	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.51180928643895
120	SRR815140_Liver	-0.0266223962653602	0.0668421204328671	-0.000872270003127536	-0.00944312815240521	GTEx	Liver	Liver	Liver	Normal	0.785248970287572
121	SRR815280_Prostate	-0.0270559144516226	-0.00782416791648342	0.0126245170257082	0.0125059940792426	GTEx	Prostate	Prostate	Prostate	Normal	1.7902954957539
122	SRR815542_Prostate	-0.0271605830820858	-0.0118022071528369	0.0131406646485226	0.00820916666914518	GTEx	Prostate	Prostate	Prostate	Normal	1.78362032532433
123	SRR815711_Liver	-0.0266230502975336	0.0668657124395413	-0.00229908948367492	-0.010426043887829	GTEx	Liver	Liver	Liver	Normal	0.926254999115038
124	SRR815845_Prostate	-0.0270557426676544	-0.0105871771691478	0.0122019743416827	0.00715386478214921	GTEx	Prostate	Prostate	Prostate	Normal	1.49215424828587
125	SRR816096_Colon_Transverse	-0.0272256109866789	-0.00869987213996136	0.0367258723236695	-0.00147005526822652	GTEx	Colon_Transverse	Colon	Colon	Normal	1.71792986846635
126	SRR816794_Colon_Transverse	-0.0272349629462373	-0.00924018496768945	0.0371543207288054	-0.00366816480189892	GTEx	Colon_Transverse	Colon	Colon	Normal	1.37862944968562
127	SRR816818_Prostate	-0.0270794594551846	-0.0135505915652255	0.0114188755650572	0.0116638286678294	GTEx	Prostate	Prostate	Prostate	Normal	1.33850472262439
128	SRR816892_Thyroid	-0.0271829758566069	-0.0154984318810411	-0.033289280145775	-0.0229392371832958	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.21101344360405
129	SRR816969_Prostate	-0.0272169723971474	-0.0117746313337072	0.0154154120655435	0.01043136330073	GTEx	Prostate	Prostate	Prostate	Normal	1.4267779170007
130	SRR818523_Colon_Transverse	-0.0272395715881905	-0.010227085785278	0.0373062074122963	-0.00197717270883463	GTEx	Colon_Transverse	Colon	Colon	Normal	1.56982861015476
131	SRR818749_Thyroid	-0.0272162455084732	-0.0138669757864152	-0.0298837800972189	-0.0228681305250528	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.79253889591743
132	SRR819486_Colon_Transverse	-0.0272206185581585	-0.0144871966340085	0.0331233329171825	-0.00584822304622855	GTEx	Colon_Transverse	Colon	Colon	Normal	1.52543121144772
133	SRR819690_Thyroid	-0.0271860129645353	-0.0155524595921468	-0.0304521338558532	-0.019124991580124	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.29375326223144
134	SRR819867_Thyroid	-0.0272334498443399	-0.0120216837795491	-0.0302442993926629	-0.0215102687474884	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.38662045736221
135	SRR820186_Thyroid	-0.0272029671028564	-0.0149966273538714	-0.032045834787517	-0.0226166034715986	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.50603155586467
136	SRR820234_Prostate	-0.027139240575294	-0.00733875955567961	0.0158791217262493	0.0112320086163816	GTEx	Prostate	Prostate	Prostate	Normal	1.57813732935724
137	SRR821043_Liver	-0.0265521709580437	0.0656990590567732	0.00252525070951234	-0.00743726889976761	GTEx	Liver	Liver	Liver	Normal	1.85056824500644
138	SRR821148_Thyroid	-0.0271978056169898	-0.0147590988871925	-0.0260404162589272	-0.019495912715283	GTEx	Thyroid	Thyroid	Thyroid	Normal	2.50764595756794
139	SRR821176_Thyroid	-0.0272217559856943	-0.0147940289262977	-0.0289592706868284	-0.0221504597813545	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.71798166378071
140	SRR821207_Thyroid	-0.0272216922311344	-0.0150897070515493	-0.031277313580199	-0.0208108927341855	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.54580062395742
141	SRR821356_Kidney_Cortex	-0.0269394757424956	0.00395723732366645	-0.0193876756427898	0.0687628489766309	GTEx	Kidney_Cortex	Kidney	Kidney	Normal	0.78213632483293
142	SRR1069141_Liver	-0.02642941513941	0.0683196571550612	0.00158665988072529	-0.00758923015805767	GTEx	Liver	Liver	Liver	Normal	0.724813297227416
143	SRR1069209_Prostate	-0.0271203779463755	-0.013010419898934	0.0149973679613408	0.00842151026241758	GTEx	Prostate	Prostate	Prostate	Normal	1.44724751596849
144	SRR1069279_Thyroid	-0.0272320176199108	-0.0118451148136844	-0.0320489765705162	-0.0225762207196073	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.03191706703854
145	SRR1069514_Prostate	-0.0271317742270693	-0.0146472498379718	0.0165678163733055	0.00932626877924942	GTEx	Prostate	Prostate	Prostate	Normal	1.1147100545466
146	SRR1069850_Colon_Transverse	-0.027201272441431	-0.0123252022918795	0.036465227176759	-0.00578928247559156	GTEx	Colon_Transverse	Colon	Colon	Normal	0.847424793790781
147	SRR1069943_Colon_Sigmoid	-0.0270995192826705	-0.00951040917366733	0.0371415903855797	-0.0043739043280543	GTEx	Colon_Sigmoid	Colon	Colon	Normal	2.40359217635108
148	SRR1069991_Colon_Transverse	-0.0272555219252127	-0.0134156492112506	0.0314862838726141	-0.00511003357347256	GTEx	Colon_Transverse	Colon	Colon	Normal	0.811739855961484
149	SRR1070689_Liver	-0.026695541498602	0.0638685527981693	0.000541958015297102	-0.00887350320377185	GTEx	Liver	Liver	Liver	Normal	0.436332753044829
150	SRR1070863_Thyroid	-0.0272329657491476	-0.011645919901346	-0.0314989710160521	-0.0231576640037669	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.898529348621088
151	SRR1070960_Thyroid	-0.0271759367695099	-0.0180290875251868	-0.0322971883481313	-0.0206918119265542	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.900249349424198
152	SRR1071668_Liver	-0.0266304457704703	0.0642997893755703	-0.00406097045410356	-0.00988719910171524	GTEx	Liver	Liver	Liver	Normal	0.607359538709696
153	SRR1071807_Kidney_Cortex	-0.0269255257140537	-0.000674352888239794	-0.0248769519395855	0.0688484647694992	GTEx	Kidney_Cortex	Kidney	Kidney	Normal	0.694871767178832
154	SRR1072578_Colon_Transverse	-0.0272908045382897	-0.0121294374738711	0.0303463537869117	-0.00416954526338564	GTEx	Colon_Transverse	Colon	Colon	Normal	0.866090431807526
155	SRR1073069_Prostate	-0.0271841672894034	-0.0110909774536653	0.0132833128636439	0.00993301412956528	GTEx	Prostate	Prostate	Prostate	Normal	0.834745709722945
156	SRR1073217_Colon_Transverse	-0.0272234373858557	-0.010477432517507	0.0374554354164206	-0.00225616551543874	GTEx	Colon_Transverse	Colon	Colon	Normal	1.76456920767178
157	SRR1073267_Thyroid	-0.0271917962128489	-0.0179374167336618	-0.0317738614932833	-0.0205841340990638	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.27584194828829
