names	tissues	correlation	ontology	similarity.measure	expr.distance	status
SRR615886_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR615491_Thyroid	thyroid	0.830348044962321	Cosine	Spearman	Spearman	0
SRR654754_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR655696_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR654969_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR655076_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR658009_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR655780_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR655495_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR656035_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR657821_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR657809_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	0
SRR655277_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR656191_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR658021_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR658117_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR656469_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR656528_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR656373_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR657101_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR657360_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR657372_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR657420_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR657845_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR658573_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR659649_Liver	liver	0.0691509716231457	Cosine	Spearman	Spearman	0
SRR659744_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR659578_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR659133_Thyroid	thyroid	0.830348044962321	Cosine	Spearman	Spearman	0
